21378	A
15847	A
23708	A
24794	A
40000	A
40000	A
9346	A
40000	A
2764	A
20379	A
7172	A
8353	A
40000	A
590	A
10507	A
26579	A
31186	A
4946	A
33992	A
24193	A
12070	A
8948	A
7704	A
15032	A
9271	A
40000	A
38131	A
14476	A
40000	A
9765	A
23299	A
22650	A
28654	A
13848	A
20012	A
5301	A
29174	A
8520	A
5079	A
5222	A
3399	A
26188	A
4245	A
7220	A
25413	A
40000	A
39152	A
13687	A
32683	A
3123	A
40000	A
20078	A
808	A
40000	A
3484	A
40000	A
33678	A
7384	A
20929	A
40000	A
26678	A
36662	A
22763	A
40000	A
23987	A
15320	A
3106	A
14452	A
30715	A
396	A
1496	A
2128	A
25433	A
11874	A
9308	A
40000	A
695	A
2789	A
40000	A
2516	A
6928	A
11040	A
40000	A
9036	A
4685	A
40000	A
14552	A
22573	A
8453	A
35000	A
23282	A
31447	A
11681	A
10768	A
25105	A
11956	A
27320	A
11250	A
1290	A
5671	A
14466	A
4640	A
40000	A
38587	A
40000	A
6425	A
12529	A
5575	A
40000	A
40000	A
19990	A
488	A
39485	A
30829	A
18735	A
9801	A
19998	A
5344	A
16088	A
10451	A
40000	A
11637	A
29922	A
17967	A
40000	A
15514	A
5821	A
21906	A
2338	A
624	A
21312	A
10219	A
3855	A
14992	A
3162	A
13307	A
5080	A
11066	A
24134	A
14232	A
15853	A
15990	A
14507	A
17792	A
428	A
19298	A
40000	A
18927	A
36633	A
15995	A
25856	A
40000	A
26814	A
36393	A
11232	A
21895	A
11433	A
6181	A
2462	A
9849	A
9685	A
31601	A
28071	A
10945	A
7172	A
1733	A
22609	A
8342	A
34095	A
40000	A
5901	A
2101	A
9730	A
9000	A
6669	A
3118	A
40000	A
10718	A
15846	A
7525	A
2478	A
10857	A
15237	A
10213	A
40000	A
37406	A
28087	A
28435	A
14116	A
20643	A
480	A
33096	A
11918	A
17477	A
13449	A
19917	A
33307	A
9261	A
13612	A
38192	A
5937	A
8411	A
1770	A
28256	A
29925	A
22250	A
15141	A
19318	A
24363	A
10115	A
40000	A
13545	A
15293	A
8817	A
24433	A
13209	A
29803	A
27158	A
40000	A
39952	A
14548	A
4639	A
40000	A
40000	A
28492	A
16600	A
7355	A
40000	A
2093	A
1397	A
21181	A
7872	A
40000	A
4752	A
23838	A
6239	A
752	A
22573	A
8717	A
21656	A
13665	A
1628	A
20083	A
28625	A
1659	A
11050	A
9263	A
16113	A
17947	A
10813	A
37957	A
40000	A
35179	A
40000	A
40000	A
8935	A
2015	A
26418	A
7350	A
10096	A
27066	A
10483	A
599	A
